pk,jsondata,id,name,description,markup_description,size,duration,date_created,mime_type,movie_pk,updated,active,created
41,"{""web"": ""web.jpg"", ""original"": ""full.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-EA71-8FB7-C281-0"", ""size"": 70126}",8e3f0d2b42b67b672ee4a8e4ccfa4427,fl_Cucurbitaceae_Cucumis_prophetarum_subsp_prophetarum_Douentza_lf_50214_JH.jpg,,,70126,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
42,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-BB3E-F631-A12A-0"", ""size"": 3281351}",3702778462f09cd10b977c02e753bbb0,fl_Vitaceae_Cissus_populnea_Boromo_08_2012_tendril_JH.JPG,,,3281351,,2012-08-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
43,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-0B8C-8EB3-3EE2-0"", ""size"": 3154654}",6feefe102e60243b9b775242a4f040a6,fl_Fabaceae_Faboideae_Indigofera_microcarpa_spcm_Niger_CIRAD_Montp_fr_JH.JPG,,,3154654,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
44,"{""web"": ""web.JPG"", ""original"": ""full.JPG"", ""thumbnail"": ""thumbnail.JPG"", ""objid"": ""EAEA0-B182-9FD1-9BF7-0"", ""size"": 1088525}",b4c8be2919883d720a306a7aa7bf7517,fl_Araceae_Stylochaeton_lancifolius_spcm_2004_360_Kubewel_50086_JH.JPG,,,1088525,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
45,"{""web"": ""web.jpg"", ""original"": ""full.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-ED0D-670F-3270-0"", ""size"": 979909}",bc9710c33dbf4036da6fc73e9cc5c23b,fl_Malvaceae_Hibiscus_longisepalus_spcm_2004_541_Kubewel_lf_50413_JH.jpg,,,979909,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
46,"{""web"": null, ""original"": ""a.tif"", ""thumbnail"": null, ""objid"": ""EAEA0-90E7-2109-C24F-0"", ""size"": 342827}",b1761e23b59df8337903b2e95e12c17c,fl_Chenopodiaceae_Cornulaca_monocantha_spcm_Kew_JH.tif,,,342827,,,image/tiff,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
47,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-263B-751A-2725-0"", ""size"": 3085497}",5803dd4b81977612f196a4755c91e195,fl_Moraceae_Milicia_excelsa_Baguera_to_Sindou_07_2012_tr_spcmBF2012_033_JH.JPG,,,3085497,,2012-07-01,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
48,"{""web"": null, ""original"": ""a.avi"", ""objid"": ""EAEA0-8C40-DC05-074C-0"", ""duration"": 194.2, ""thumbnail"": null, ""size"": 39972538}",f45e95486b35144e28c59bd155ef9fec,cowpea_farming_Sevare_2011.avi,,,39972538,194.2,,video/x-msvideo,25,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
49,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-7DD2-30F5-CA3B-0"", ""size"": 4001792}",128be8818e34dfa3f8cb771b5e0b6682,fl_Fabaceae_Mimosoideae_Senegalia_polyacantha_subsp_campylacantha_Seeku_10_13_2014_lf_above_JH.JPG,,,4001792,,2014-10-13,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
50,"{""web"": ""web.jpg"", ""original"": ""a.jpg"", ""thumbnail"": ""thumbnail.jpg"", ""objid"": ""EAEA0-5708-6810-52AD-0"", ""size"": 1568500}",2f24025184fa1d705072b2924549e874,fl_Cyperaceae_Cyperus_difformis_spcm_IvCoast_CIRAD_Montp_JH.JPG,,,1568500,,,image/jpeg,,2016-10-25 12:35:26.65291+02,t,2016-10-25 12:35:26.65291+02
